Id,Name,Type,Address
ed693cd4-cd96-4f9a-b1ac-3721fc1a77b1,이디야 서울1호점,이디야,서울 성동구 71길 8
cfca14f7-09ca-4d31-b852-a1ffd87ce79f,커피빈 인천2호점,커피빈,인천 미추홀구 45길 25
c2e1e6fe-bdaa-4b1b-9837-8f98420c281c,할리스 서울1호점,할리스,서울 성동구 20길 37
8dc841d9-2341-4b07-ab7b-33255a5d8379,이디야 인천3호점,이디야,인천 부평구 25길 32
a6643071-1fa4-4aee-8be7-f07529052d65,투썸 인천7호점,투썸,인천 부평구 78길 79
4a309ee2-81ed-45d6-aed2-f69a28b48d09,이디야 인천6호점,이디야,인천 부평구 66길 81
f56046d3-6350-478e-afae-8297c86fb78c,커피빈 서울10호점,커피빈,서울 강남구 10길 74
4ac379f5-c67b-43e8-bda9-c309108cef9a,스타벅스 인천6호점,스타벅스,인천 계양구 69길 48
764950e3-ea41-4cb9-a176-9aa63cc452a1,컴포즈 서울12호점,컴포즈,서울 종로구 44길 36
bd5d6553-fc7b-4426-b553-b994c1b4f391,투썸 인천4호점,투썸,인천 계양구 55길 7
697ee618-5db1-4839-87af-d3bd27c66400,할리스 대구12호점,할리스,대구 달서구 52길 85
46080787-2673-450c-8c8a-5fc96d8e03da,투썸 울산6호점,투썸,울산 동구 70길 75
a7d3cab6-d214-430e-b5f2-6c7d735787e9,투썸 서울13호점,투썸,서울 서대문구 16길 17
5387f4a7-9a0a-4c72-bbe3-fe8f936eed76,매머드 광주8호점,매머드,광주 광산구 48길 53
33572e85-9569-49e7-a671-156c611c4c12,컴포즈 대전7호점,컴포즈,대전 유성구 42길 87
96a0c798-0cb0-4373-a40e-d71a470ed2a3,빽다방 부산6호점,빽다방,부산 해운대구 16길 68
fba67b75-d43d-4d17-9dab-a7e2c36d93c8,컴포즈 서울5호점,컴포즈,서울 서대문구 53길 54
4c03bafe-2a92-49c6-bc4d-c2fab912eccb,커피빈 울산4호점,커피빈,울산 동구 75길 39
6de6ea06-4e9e-4763-ad16-e0ace30f4462,할리스 인천5호점,할리스,인천 미추홀구 93길 19
94dc25bd-4f40-44a6-a331-d7d47b4dfecf,할리스 대구3호점,할리스,대구 달서구 54길 14
a7e33021-43c4-4cfd-a3ef-44e3c8389df5,할리스 대구3호점,할리스,대구 북구 49길 27
