Id,OrderAt,StoreId,UserId
91f0fca9-e22f-40ca-9f7e-74b88f882f10,2023-04-06 2023-09-13,951ed159-c334-48a1-8a08-eb12e1ceb2cf,0919a288-694f-4674-a386-0101d6e3b440
4a32e2f2-c8e4-40e8-8243-e4f6b5a4f1c7,2023-02-02 2023-08-34,c992a667-477f-4c50-bc6c-684ecaf0fa5c,69a421ff-bc88-4e4c-9e43-0d3f24de2847
0f2ab246-8d78-4a09-8127-824b362ae041,2023-05-13 2023-21-26,020c1206-9207-4fb7-b790-5e972ba52f61,820ca69e-6182-4e8e-aef1-85b944d2da99
fdd839cf-a722-4c96-b603-76955bd30e53,2023-02-03 2023-17-06,de9b0d36-bcfc-4754-816c-1f60fd2bc141,5cd93c0c-036d-4f82-9a00-2692ba21b038
088df63b-d130-4a4f-a1b3-9308966d93df,2023-08-12 2023-01-06,cbfc7336-46ac-4f55-8eeb-1f01ee25674c,ce6a2c3e-2c7e-43f9-ad9f-ddc31423a4ff
92200f78-10d3-4253-9e2d-f0ec92b74d6b,2023-04-18 2023-11-53,20fe52eb-a767-465e-a521-33296b8f33d2,3ba25a1c-21f9-4f26-9fb7-c75725a6c68f
b870047a-5643-4d9f-9734-1419df16fa06,2023-12-20 2023-04-10,f5e883ea-446e-46f5-8273-9412c86e7734,e0a2af8d-420a-48c0-aad1-e158555020c6
bcef5df4-bd7d-42ea-8f05-f756a22d9f89,2023-10-08 2023-02-02,c9fc6b5f-e1e6-4b2e-b31f-c86f40f1fec5,42f5cb10-46c6-4b19-aa58-59410b45def8
90130eb0-e55f-46ca-8051-b53268da40f8,2023-06-18 2023-04-49,5553abec-63de-4190-8baa-5feb2c3a9691,6964deeb-6a9f-4ea2-9fd7-f417dcb90869
9995ba87-3c47-49c2-ae5f-9920abd8bf55,2023-07-09 2023-01-47,76dd2ed7-29f3-4e9d-8c25-afab40c4c35e,b0197e22-33f0-4396-a4ca-f525b2848918
c80bfb05-24e8-47ed-98c2-b42316ded730,2023-02-09 2023-18-01,5c9d6b62-6f9f-40e5-8cba-74020d2c930e,5fe67ece-38fa-4387-9929-7db3acb07b22
34abb371-de94-458d-a3d1-dd8983fb4ddd,2023-06-21 2023-02-49,055c3c39-04a1-4a5f-b0f1-4a0110e49f77,08a2ca6c-4e0b-4acd-84fc-cb26a1ac0e60
3e7fecad-f5c5-4ec4-866c-c9c349b9d963,2023-04-25 2023-03-08,7c8edd77-092a-49dd-b46c-714a22e1532d,b6521d8a-1a4f-4d64-89a9-443b331357d9
6ac15cd5-9e6a-4185-86c7-b029c065b7cb,2023-02-24 2023-23-32,16c14563-b157-43df-b3b9-451b25974b3b,863b7f14-7b49-42c6-8741-cc7be33756e2
